"date","CL.Open","ZG.Open","EUR.USD","GBP.USD","USD.IRR","ADM.Open","GE.Open","HAL.Open","LMT.Open","XOM.Open","DJI.Open","FTSE.Open","GSPC.Open","XAR.Open"
"2019-07-15",74.419998,50.259998,1.126706,1.254189,42087.688372,41.990002,10.25,23.860001,369.839996,77.629997,27364.689453,7506,3017.800049,105.800003
"2019-07-16",74.209999,48.799999,1.123149,1.245092,42105,41.669998,10.23,23.41,368,76.919998,27349.320313,7531.700195,3012.129883,105.099998
"2019-07-17",73.949997,48.57,1.121831,1.24196,42105,40.759998,10.37,22.82,365.350006,75.739998,27320.910156,7577.200195,3005.100098,105.339996
"2019-07-18",73.739998,47.759998,1.123893,1.248131,42105,40.119999,10.01,21.690001,358.290009,75.029999,27191.980469,7535.5,2978.870117,103.790001
"2019-07-19",73.769997,49.18,1.123904,1.2521,42105,40.34,10.08,21.700001,357.640015,74.900002,27246.380859,7493.100098,3004.26001,104.129997
"2019-07-22",72.839996,47,1.121522,1.248492,42105,40.400002,10.05,22.85,357.440002,75.239998,27174.179688,7508.700195,2981.929932,104.769997
"2019-07-23",72.879997,45.98,1.117278,1.24483,42105,40.540001,10.28,23.67,363,75.150002,27231.859375,7514.899902,2994.73999,105.410004
"2019-07-24",71.839996,49.07,1.114322,1.246958,42088.162325,40.419998,10.58,23.76,358.200012,75.389999,27262.240234,7556.899902,2998.77002,105.129997
"2019-07-25",71.129997,48.700001,1.114144,1.247276,42105,40.619999,10.63,23.99,368.76001,75.779999,27247.390625,7501.5,3016.26001,106.800003
"2019-07-26",71.919998,49.189999,1.113497,1.241705,42105,40.57,10.47,23.26,369.609985,74.870003,27166,7489.100098,3013.25,106.660004
"2019-07-29",73.849998,49.07,1.113268,1.22932,42105,40.619999,10.5,22.99,369.410004,74.879997,27192.240234,7549.100098,3024.469971,106.089996
"2019-07-30",75.510002,48.650002,1.114711,1.216566,42105,40.77,10.39,22,368.630005,75.059998,27145.390625,7686.600098,3007.659912,105.07
"2019-07-31",74.589996,48.759998,1.113006,1.217352,42105,40.849998,10.76,23.27,365.910004,75.040001,27244.669922,7646.799805,3016.219971,106.089996
"2019-08-01",71.629997,49.959999,1.105686,1.212508,42105,41.119999,10.37,22.709999,361.720001,73.739998,26879.859375,7586.799805,2980.320068,105.790001
"2019-08-02",71.300003,49.240002,1.109708,1.213148,42105,40.970001,10.01,21.719999,364.130005,72.610001,26528.660156,7584.899902,2943.899902,104.139999
"2019-08-05",70.989998,47.799999,1.116736,1.21483,42105,39.009998,9.79,20.459999,356.549988,70.779999,26259.230469,7407.100098,2898.070068,101.589996
"2019-08-06",69.080002,47.209999,1.120354,1.216646,42105,38.169998,9.71,20.42,361.279999,70.290001,25810.619141,7223.899902,2861.179932,101.309998
"2019-08-07",69.440002,48.810001,1.120808,1.215437,42105,36.82,9.44,19.43,364.019989,69.860001,25814.220703,7171.700195,2858.649902,102.769997
"2019-08-08",70.669998,42.98,1.120272,1.214906,42105,37.490002,9.51,19.74,370.01001,70.849998,26086.519531,7198.700195,2896.209961,105.18
"2019-08-09",71.800003,41.84,1.11993,1.208927,42105,38.189999,9.47,19.93,376.100006,72.129997,26337.089844,7285.899902,2930.51001,106.449997
"2019-08-12",71.400002,38.68,1.120517,1.206524,42105,38.029999,9.04,19.42,375,70.059998,26169.910156,7253.899902,2907.070068,104.93
"2019-08-13",70.870003,36.400002,1.119128,1.20669,42105,37.27,9.23,19.35,377.98999,69.269997,25888.880859,7226.700195,2880.719971,103.620003
"2019-08-14",71.010002,35.919998,1.116173,1.206217,42105,37.279999,9.24,18.969999,376,69.07,26035.080078,7250.899902,2894.149902,103.129997
"2019-08-15",70.870003,34.84,1.11299,1.209044,42105,36.880001,8.54,18.139999,369.149994,67.459999,25514.25,7147.899902,2846.199951,102.360001
"2019-08-16",71.690002,34.419998,1.109163,1.213231,42105,36.970001,8.41,18.35,376.100006,67.779999,25678.169922,7067,2864.73999,103.419998
"2019-08-19",73.010002,36.07,1.10926,1.21361,42105,38.290001,8.88,19.33,379.75,68.970001,26020.060547,7117.200195,2913.47998,105.519997
"2019-08-20",72.959999,35.84,1.10882,1.213128,42105,37.919998,8.58,19.110001,380.5,69.300003,26086.859375,7189.700195,2919.01001,105.480003
